Date,FFJ0
2019-01-02,97.68
2019-01-03,97.875
2019-01-04,97.765
2019-01-07,97.71
2019-01-08,97.625
2019-01-09,97.645
2019-01-10,97.635
2019-01-11,97.655
2019-01-14,97.66
2019-01-15,97.66
2019-01-16,97.645
2019-01-17,97.62
2019-01-18,97.56
2019-01-22,97.625
2019-01-23,97.595
2019-01-24,97.625
2019-01-25,97.58
2019-01-28,97.59
2019-01-29,97.605
2019-01-30,97.645
2019-01-31,97.73
2019-02-01,97.68
2019-02-04,97.655
2019-02-05,97.665
2019-02-06,97.665
2019-02-07,97.705
2019-02-08,97.725
2019-02-11,97.69
2019-02-12,97.675
2019-02-13,97.635
2019-02-14,97.68
2019-02-15,97.66
2019-02-19,97.67
2019-02-20,97.67
2019-02-21,97.65
2019-02-22,97.69
2019-02-25,97.685
2019-02-26,97.705
2019-02-27,97.685
2019-02-28,97.66
2019-03-01,97.61
2019-03-04,97.63
2019-03-05,97.605
2019-03-06,97.63
2019-03-07,97.685
2019-03-08,97.695
2019-03-11,97.675
2019-03-12,97.71
2019-03-13,97.715
2019-03-14,97.71
2019-03-15,97.74
2019-03-18,97.725
2019-03-19,97.715
2019-03-20,97.78
2019-03-21,97.775
2019-03-22,97.885
2019-03-25,97.985
2019-03-26,97.955
2019-03-27,98.005
2019-03-28,97.98
2019-03-29,97.925
2019-04-01,97.865
2019-04-02,97.88
2019-04-03,97.855
2019-04-04,97.845
2019-04-05,97.835
2019-04-08,97.815
2019-04-09,97.84
2019-04-10,97.85
2019-04-11,97.82
2019-04-12,97.77
2019-04-15,97.77
2019-04-16,97.76
2019-04-17,97.775
2019-04-18,97.785
2019-04-22,97.8
2019-04-23,97.82
2019-04-24,97.865
2019-04-25,97.84
2019-04-26,97.885
2019-04-29,97.88
2019-04-30,97.9
2019-05-01,97.86
2019-05-02,97.81
2019-05-03,97.82
2019-05-06,97.85
2019-05-07,97.885
2019-05-08,97.87
2019-05-09,97.895
2019-05-10,97.92
2019-05-13,98.0
2019-05-14,97.995
2019-05-15,98.035
2019-05-16,97.99
2019-05-17,98.0
2019-05-20,97.98
2019-05-21,97.945
2019-05-22,97.965
2019-05-23,98.09
2019-05-24,98.05
2019-05-28,98.095
2019-05-29,98.13
2019-05-30,98.14
2019-05-31,98.3
2019-06-03,98.435
2019-06-04,98.405
2019-06-05,98.435
2019-06-06,98.385
2019-06-07,98.415
2019-06-10,98.365
2019-06-11,98.34
2019-06-12,98.375
2019-06-13,98.45
2019-06-14,98.435
2019-06-17,98.4
2019-06-18,98.385
2019-06-19,98.515
2019-06-20,98.545
2019-06-21,98.495
2019-06-24,98.545
2019-06-25,98.545
2019-06-26,98.47
2019-06-27,98.5
2019-06-28,98.48
2019-07-01,98.425
2019-07-02,98.46
2019-07-03,98.455
2019-07-05,98.34
2019-07-08,98.35
2019-07-09,98.335
2019-07-10,98.415
2019-07-11,98.37
2019-07-12,98.405
2019-07-15,98.41
2019-07-16,98.385
2019-07-17,98.425
2019-07-18,98.51
2019-07-19,98.46
2019-07-22,98.46
2019-07-23,98.42
2019-07-24,98.425
2019-07-25,98.41
2019-07-26,98.39
2019-07-29,98.405
2019-07-30,98.395
2019-07-31,98.325
2019-08-01,98.505
2019-08-02,98.52
2019-08-05,98.705
2019-08-06,98.66
2019-08-07,98.72
2019-08-08,98.67
2019-08-09,98.65
2019-08-12,98.71
2019-08-13,98.61
2019-08-14,98.695
2019-08-15,98.765
2019-08-16,98.77
2019-08-19,98.705
2019-08-20,98.735
2019-08-21,98.68
2019-08-22,98.63
2019-08-23,98.715
2019-08-26,98.685
2019-08-27,98.69
2019-08-28,98.695
2019-08-29,98.65
2019-08-30,98.675
2019-09-03,98.735
2019-09-04,98.785
2019-09-05,98.705
2019-09-06,98.705
2019-09-09,98.66
2019-09-10,98.6
2019-09-11,98.59
2019-09-12,98.54
2019-09-13,98.475
2019-09-16,98.535
2019-09-17,98.53
2019-09-18,98.505
2019-09-19,98.535
2019-09-20,98.49
2019-09-23,98.54
2019-09-24,98.62
2019-09-25,98.555
2019-09-26,98.55
2019-09-27,98.575
2019-09-30,98.565
2019-10-01,98.635
2019-10-02,98.7
2019-10-03,98.795
2019-10-04,98.77
2019-10-07,98.715
2019-10-08,98.735
2019-10-09,98.685
2019-10-10,98.655
2019-10-11,98.555
2019-10-14,98.575
2019-10-15,98.535
2019-10-16,98.59
2019-10-17,98.57
2019-10-18,98.605
2019-10-21,98.58
2019-10-22,98.605
2019-10-23,98.62
2019-10-24,98.605
2019-10-25,98.585
2019-10-28,98.57
2019-10-29,98.56
2019-10-30,98.57
2019-10-31,98.635
2019-11-01,98.585
2019-11-04,98.565
2019-11-05,98.535
2019-11-06,98.56
2019-11-07,98.525
2019-11-08,98.52
2019-11-11,98.52
2019-11-12,98.53
2019-11-13,98.545
2019-11-14,98.56
2019-11-15,98.54
2019-11-18,98.545
2019-11-19,98.55
2019-11-20,98.565
2019-11-21,98.54
2019-11-22,98.52
2019-11-25,98.51
2019-11-26,98.515
2019-11-27,98.5
2019-11-29,98.505
2019-12-02,98.505
2019-12-03,98.535
2019-12-04,98.515
2019-12-05,98.525
2019-12-06,98.5
2019-12-09,98.5
2019-12-10,98.495
2019-12-11,98.495
2019-12-12,98.47
2019-12-13,98.47
2019-12-16,98.46
2019-12-17,98.465
2019-12-18,98.465
2019-12-19,98.46
2019-12-20,98.46
2019-12-23,98.45
2019-12-24,98.45
2019-12-26,98.45
2019-12-27,98.455
2019-12-30,98.455
2019-12-31,98.45
2020-01-02,98.455
2020-01-03,98.45
2020-01-06,98.45
2020-01-07,98.45
2020-01-08,98.435
2020-01-09,98.44
2020-01-10,98.44
2020-01-13,98.43
2020-01-14,98.425
2020-01-15,98.42
2020-01-16,98.42
2020-01-17,98.42
2020-01-21,98.43
2020-01-22,98.425
2020-01-23,98.43
2020-01-24,98.435
2020-01-27,98.455
2020-01-28,98.44
2020-01-29,98.43
2020-01-30,98.45
2020-01-31,98.475
2020-02-03,98.455
2020-02-04,98.44
2020-02-05,98.43
2020-02-06,98.43
2020-02-07,98.44
2020-02-10,98.45
2020-02-11,98.435
2020-02-12,98.435
2020-02-13,98.44
